FreqRangeHzY,StrongestFreqHzY,LengthSecY,FreqRangeHzZ,StrongestFreqHzZ,LengthSecZ,FingerString
51.4560167741674,13.7216044731113,0.291511099,51.4560167741675,6.86080223655567,0.291511099,R
51.46691039474,13.7245094385973,0.291449397,51.46691039474,6.86225471929866,0.291449397,R
51.4723589349046,17.1574529783015,0.291418546,51.46691039474,6.86225471929866,0.291449397,R
51.4560167741675,17.1520055913892,0.291511099,51.46691039474,6.86225471929866,0.291449397,R
51.4451277641634,17.1483759213878,0.291572801,51.4451277641634,6.85935036855512,0.291572801,R
51.4451277641634,17.1483759213878,0.291572801,51.4451277641634,6.85935036855512,0.291572801,R
51.4505716930274,13.720152451474,0.29154195,51.4505716930274,6.86007622573698,0.29154195,R
51.4451277641634,17.1483759213878,0.291572801,51.4451277641634,6.85935036855512,0.291572801,R
51.4614630079497,13.7230568021199,0.291480248,51.4614630079497,6.86152840105996,0.291480248,R
51.4505716930274,17.1501905643425,0.29154195,51.4505716930274,6.86007622573698,0.29154195,R
51.4505716930274,13.720152451474,0.29154195,51.4560167741675,6.86080223655566,0.291511099,R
51.4505716930274,17.1501905643425,0.29154195,51.4505716930274,6.86007622573698,0.29154195,R
51.46691039474,17.1556367982467,0.291449397,51.46691039474,6.86225471929866,0.291449397,R
51.4669103947401,17.1556367982467,0.291449396999999,51.4723589349047,17.1574529783016,0.291418545999999,R
51.4669103947401,13.7245094385974,0.291449396999999,51.4669103947398,6.86225471929864,0.291449397000001,R
51.4669103947398,17.1556367982466,0.291449397000001,51.4614630079498,6.86152840105998,0.291480247999999,R
51.4669103947401,13.7245094385974,0.291449396999999,51.4723589349047,6.86298119132063,0.291418545999999,R
51.4560167741676,17.1520055913892,0.291511098999999,51.4614630079495,6.86152840105994,0.291480248000001,R
51.4614630079498,13.72305680212,0.291480247999999,51.4560167741673,6.86080223655564,0.291511099000001,R
51.4560167741676,17.1520055913892,0.291511098999999,51.4560167741676,6.86080223655568,0.291511098999999,R
51.4560167741673,17.1520055913891,0.291511099000001,51.4560167741673,6.86080223655564,0.291511099000001,R
51.4505716930275,17.1501905643425,0.291541949999999,51.4505716930272,6.86007622573696,0.291541950000001,R
51.4505716930275,17.1501905643425,0.291541949999999,51.4505716930272,6.86007622573696,0.291541950000001,R
51.4614630079498,13.72305680212,0.291480247999999,51.4614630079495,6.86152840105994,0.291480248000001,R
51.4669103947398,17.1556367982466,0.291449397000001,51.4614630079495,6.86152840105994,0.291480248000001,R
51.4560167741676,13.7216044731114,0.291511098999999,51.4560167741673,6.86080223655564,0.291511099000001,R
51.4505716930275,17.1501905643425,0.291541949999999,51.4505716930275,6.860076225737,0.291541949999999,R
51.4505716930272,13.7201524514739,0.291541950000001,51.4505716930275,6.860076225737,0.291541949999999,R
51.4505716930275,17.1501905643425,0.291541949999999,51.4505716930275,6.860076225737,0.291541949999999,R
51.4560167741673,13.7216044731113,0.291511099000001,51.4614630079498,6.86152840105998,0.291480247999999,R
