StrongestFreqHzY,StrongestFreqHzZ,FingerString
10.287936997442,6.85862466496133,I
10.287936997442,10.287936997442,I
6.85789911490685,6.85789911490685,I
10.2857605775145,6.85717371834297,I
6.85789911490686,10.2868486723603,I
6.85935036855512,10.2890255528327,I
6.86007622573698,6.86007622573698,I
6.85935036855512,6.85935036855512,I
6.86080223655566,10.2912033548335,I
6.86152840105996,6.86152840105996,I
6.85935036855512,6.85935036855512,I
6.86152840105996,6.86152840105996,I
6.86152840105996,6.86152840105996,I
6.86225471929866,10.293382078948,I
6.86080223655566,6.86080223655566,I
6.86225471929866,6.86225471929866,I
6.86080223655566,6.86080223655566,I
6.86080223655568,6.86080223655568,I
6.86080223655564,6.86080223655564,I
10.2912033548335,6.86080223655564,I
6.86370781717466,10.295561725762,I
6.86443459690964,6.86443459690964,I
10.2944717869809,6.86298119132059,I
6.86080223655564,6.86080223655564,I
6.86225471929868,6.86225471929868,I
10.293382078948,6.86225471929864,I
6.86370781717466,6.86370781717466,I
6.86298119132063,6.86298119132063,I
6.8644345969096,6.8644345969096,I
6.86370781717462,6.86370781717462,I
