StrongestFreqHzX,StrongestFreqHzY,StrongestFreqHzZ,FingerString
6.86080223655566,13.7216044731113,6.86080223655566,R
6.86225471929866,13.7245094385973,6.86225471929866,R
6.86225471929866,13.7245094385973,6.86225471929866,R
6.86225471929866,13.7245094385973,6.86225471929866,R
6.85862466496132,17.1465616624033,6.85862466496132,R
6.85935036855512,17.1483759213878,6.85935036855512,R
10.2901143386055,13.720152451474,6.86007622573698,R
10.2890255528327,13.7187007371102,6.85935036855512,R
6.86152840105996,13.7230568021199,6.86152840105996,R
6.86007622573698,17.1501905643425,6.86007622573698,R
6.86080223655566,13.7216044731113,6.86080223655566,R
6.860076225737,17.1501905643425,6.860076225737,R
6.86225471929866,17.1556367982467,6.86225471929866,R
6.86298119132063,17.1574529783016,17.1574529783016,R
6.86225471929864,13.7245094385973,6.86225471929864,R
6.86152840105998,13.72305680212,6.86152840105998,R
6.86225471929868,13.7245094385974,6.86225471929868,R
6.86152840105994,13.7230568021199,6.86152840105994,R
6.86152840105994,13.7230568021199,6.86152840105994,R
6.86080223655568,13.7216044731114,6.86080223655568,R
6.86080223655568,13.7216044731114,6.86080223655568,R
6.86007622573696,13.7201524514739,6.86007622573696,R
6.86007622573696,17.1501905643424,6.86007622573696,R
6.86152840105994,13.7230568021199,6.86152840105994,R
6.86225471929864,13.7245094385973,6.86225471929864,R
6.86080223655564,13.7216044731113,6.86080223655564,R
6.860076225737,13.720152451474,6.860076225737,R
6.860076225737,13.720152451474,6.860076225737,R
6.86007622573696,17.1501905643424,6.86007622573696,R
6.86080223655568,13.7216044731114,6.86080223655568,R
